player_name,country
Alexis Ajinça,France
Joël Ayayi,France
Adama Bal,France
Nicolas Batum,France
Rodrigue Beaubois,France
Joan Beringer,France
Malcolm Cazalon,France
Sidy Cissoko,France
Petr Cornelie,France
Bilal Coulibaly,France
Pacôme Dadiet,France
Nando De Colo,France
Moussa Diabaté,France
Boris Diaw,France
Mohamed Diawara,France
Yakhouba Diawara,France
Ousmane Dieng,France
Sekou Doumbouya,France
Noa Essengue,France
Evan Fournier,France
Mickaël Gelabale,France
Rudy Gobert,France
Jaylen Hoard,France
William Howard,France
Damien Inglis,France
Joffrey Lauvergne,France
Timothé Luwawu-Cabarrot,France
Ian Mahinmi,France
Théo Maledon,France
Jérôme Moïso,France
Adam Mokoka,France
Frank Ntilikina,France
Élie Okobo,France
Tony Parker,France
Noah Penda,France
Johan Petro,France
Mickaël Piétrus,France
Vincent Poirier,France
Yves Pons,France
Maxime Raynaud,France
Antoine Rigaudeau,France
Zaccharie Risacher,France
Rayan Rupert,France
Tidjane Salaün,France
Alex Sarr,France
Olivier Sarr,France
Kevin Séraphin,France
Pape Sy,France
Killian Tillie,France
Axel Toupane,France
Armel Traoré,France
Nolan Traoré,France
Ronny Turiaf,France
Victor Wembanyama,France
Guerschon Yabusele,France
Stéphane Lasme,Gabon
Chris Silva,Gabon
Goga Bitadze,Georgia
Zaza Pachulia,Georgia
Tornike Shengelia,Georgia
Vladimir Stepania,Georgia
Nikoloz Tskitishvili,Georgia
Uwe Blab,Germany
Isaac Bonga,Germany
Shawn Bradley,Germany
Tristan da Silva,Germany
Frido Frey,Germany
Elias Harris,Germany
Charlie Hoefer,Germany
Ariel Hukporti,Germany
Maxi Kleber,Germany
Dirk Nowitzki,Germany
Tim Ohlbrecht,Germany
Tibor Pleiß,Germany
Detlef Schrempf,Germany
Dennis Schröder,Germany
Daniel Theis,Germany
Franz Wagner,Germany
Moritz Wagner,Germany
Chris Welp,Germany
Paul Zipser,Germany
Ben Bentil,Ghana
