draft_year,pick,player_name,ws,vorp
2017,1,Markelle Fultz,8.3,1.1
2017,2,Lonzo Ball,13.3,6.9
2017,3,Jayson Tatum,67.2,30.3
2017,4,Josh Jackson,-1.7,-3.1
2017,5,De'Aaron Fox,40.3,15.1
2017,6,Jonathan Isaac,14.9,4.3
2017,7,Lauri Markkanen,36.7,12.2
2017,8,Frank Ntilikina,0.3,-3.4
2017,9,Dennis Smith Jr.,2.3,-0.2
2017,10,Zach Collins,12.4,1.0
2017,11,Malik Monk,16.1,3.1
2017,12,Luke Kennard,28.1,6.3
2017,13,Donovan Mitchell,60.2,29.4
2017,14,Bam Adebayo,64.0,22.2
2017,15,Justin Jackson,5.3,-1.0
2017,16,Justin Patton,0.4,-0.1
2017,17,D.J. Wilson,2.9,-0.2
2017,18,T.J. Leaf,2.7,0.1
2017,19,John Collins,43.8,10.0
2017,20,Harry Giles,3.1,-0.2
2017,21,Terrance Ferguson,4.4,-2.1
2017,22,Jarrett Allen,73.1,19.4
2017,23,OG Anunoby,37.6,10.5
2017,24,Tyler Lydon,0.2,-0.1
2017,25,AnÅ¾ejs PaseÄÅiks,0.4,-0.5
2017,26,Caleb Swanigan,-0.2,-0.7
2017,27,Kyle Kuzma,16.3,1.8
2017,28,Tony Bradley,8.9,1.0
2017,29,Derrick White,46.7,18.4
2017,30,Josh Hart,42.8,12.6
2017,nan,Round 2,Advanced,Advanced
2017,31,Frank Jackson,2.5,-1.9
2017,32,Davon Reed,1.5,-0.3
2017,33,Wes Iwundu,4.2,-1.8
2017,34,Frank Mason III,1.2,-0.3
2017,35,Ivan Rabb,3.2,0.1
2017,36,Jonah Bolden,1.4,0.1
2017,37,Semi Ojeleye,5.2,-1.5
2017,38,Jordan Bell,4.9,1.1
2017,39,Jawun Evans,-0.4,-0.7
2017,40,Dwayne Bacon,0.8,-3.1
2017,41,Tyler Dorsey,1.1,-0.5
2017,42,Thomas Bryant,22.7,4.9
2017,43,Isaiah Hartenstein,33.3,9.4
2017,44,Damyean Dotson,3.0,-0.9
2017,45,Dillon Brooks,16.8,-5.2
2017,46,Sterling Brown,6.6,-0.1
2017,47,Ike Anigbogu,0.0,0.0
2017,48,Sindarius Thornwell,1.1,-0.5
2017,49,Vlatko ÄanÄar,2.4,-0.2
2017,50,Mathias Lessort,nan,nan
2017,51,Monte Morris,24.7,5.6
2017,52,Edmond Sumner,3.2,-0.6
2017,53,Kadeem Allen,1.0,0.1
2017,54,Alec Peters,0.3,0.0
2017,55,Nigel Williams-Goss,0.0,0.0
2017,56,Jabari Bird,0.2,0.0
2017,57,Sasha Vezenkov,1.0,0.1
2017,58,Ognjen Jaramaz,nan,nan
2017,59,Jaron Blossomgame,0.3,-0.2
2017,60,Alpha Kaba,nan,nan
2018,1,Deandre Ayton,43.8,9.2
2018,2,Marvin Bagley III,16.3,1.5
2018,3,Luka DonÄiÄ,66.6,44.8
2018,4,Jaren Jackson Jr.,30.2,9.2
2018,5,Trae Young,44.7,19.7
2018,6,Mo Bamba,15.7,3.0
2018,7,Wendell Carter Jr.,33.3,5.3
2018,8,Collin Sexton,19.7,3.0
2018,9,Kevin Knox,0.9,-3.4
2018,10,Mikal Bridges,50.0,15.8
2018,11,Shai Gilgeous-Alexander,75.6,36.9
2018,12,Miles Bridges,27.8,8.2
2018,13,Jerome Robinson,-0.2,-1.2
2018,14,Michael Porter Jr.,29.4,8.9
2018,15,Troy Brown Jr.,8.6,0.4
2018,16,Zhaire Smith,0.0,-0.1
2018,17,Donte DiVincenzo,29.1,10.1
2018,18,Lonnie Walker IV,4.9,-1.0
2018,19,Kevin Huerter,21.7,4.1
2018,20,Josh Okogie,14.2,0.6
2018,21,Grayson Allen,26.4,6.6
2018,22,Chandler Hutchison,1.1,-0.9
2018,23,Aaron Holiday,11.6,0.1
2018,24,Anfernee Simons,15.7,2.9
2018,25,Moritz Wagner,17.9,3.4
2018,26,Landry Shamet,15.7,0.4
2018,27,Robert Williams,28.3,9.6
2018,28,Jacob Evans,-0.6,-0.8
2018,29,DÅ¾anan Musa,0.0,-0.4
2018,30,Omari Spellman,2.4,0.2
2018,nan,Round 2,Advanced,Advanced
2018,31,Elie Okobo,0.5,-0.9
2018,32,Jevon Carter,9.4,1.0
2018,33,Jalen Brunson,54.2,18.8
2018,34,Devonte' Graham,12.7,3.2
2018,35,Melvin Frazier,-0.4,-0.6
2018,36,Mitchell Robinson,41.0,10.1
2018,37,Gary Trent Jr.,19.0,1.4
2018,38,Khyri Thomas,0.5,-0.1
2018,39,Isaac Bonga,1.7,-0.7
2018,40,Rodions Kurucs,2.3,-0.4
2018,41,Jarred Vanderbilt,18.6,3.3
2018,42,Bruce Brown,22.9,1.3
2018,43,Justin Jackson,nan,nan
2018,44,Issuf Sanon,nan,nan
2018,45,Hamidou Diallo,6.2,-0.1
2018,46,De'Anthony Melton,15.0,5.2
2018,47,Svi Mykhailiuk,5.3,-0.6
2018,48,Keita Bates-Diop,7.4,0.5
2018,49,Chimezie Metu,5.7,0.3
2018,50,Alize Johnson,1.3,-0.1
2018,51,Tony Carr,nan,nan
2018,52,Vince Edwards,0.0,0.0
2018,53,Devon Hall,-0.2,-0.1
2018,54,Shake Milton,11.7,-0.1
2018,55,Arnoldas Kulboka,0.0,0.0
2018,56,Ray Spalding,0.1,-0.2
2018,57,Kevin Hervey,-0.1,0.0
2018,58,Thomas Welsh,0.1,0.0
2018,59,George King,-0.1,-0.1
2018,60,Kostas Antetokounmpo,-0.2,-0.2
2019,1,Zion Williamson,30.3,14.1
2019,2,Ja Morant,24.3,11.8
2019,3,RJ Barrett,17.3,1.8
2019,4,De'Andre Hunter,13.1,-2.0
2019,5,Darius Garland,27.1,7.9
2019,6,Jarrett Culver,-0.1,-1.6
2019,7,Coby White,19.9,1.7
2019,8,Jaxson Hayes,25.1,3.5
2019,9,Rui Hachimura,18.7,0.1
2019,10,Cam Reddish,3.3,-1.7
2019,11,Cameron Johnson,26.6,8.8
2019,12,P.J. Washington,16.5,2.6
2019,13,Tyler Herro,22.3,9.0
2019,14,Romeo Langford,2.0,-0.8
2019,15,Sekou Doumbouya,-0.4,-1.8
2019,16,Chuma Okeke,5.0,1.0
2019,17,Nickeil Alexander-Walker,16.5,3.7
2019,18,Goga Bitadze,19.3,4.4
2019,19,Luka Å amaniÄ,0.0,-0.8
2019,20,Matisse Thybulle,15.4,6.1
2019,21,Brandon Clarke,24.6,7.1
2019,22,Grant Williams,17.4,1.0
2019,23,Darius Bazley,3.1,-0.6
2019,24,Ty Jerome,11.2,3.3
2019,25,Nassir Little,4.7,-0.5
2019,26,Dylan Windler,1.6,0.2
2019,27,Mfiondu Kabengele,0.4,-0.2
2019,28,Jordan Poole,11.4,0.4
2019,29,Keldon Johnson,23.2,3.2
2019,30,Kevin Porter Jr.,9.0,2.5
2019,nan,Round 2,Advanced,Advanced
2019,31,Nic Claxton,30.9,8.2
2019,32,KZ Okpala,1.0,-0.7
2019,33,Carsen Edwards,0.3,-0.5
2019,34,Bruno Fernando,3.8,-0.6
2019,35,Didi Louzada,-0.1,-0.3
2019,36,Cody Martin,7.1,0.3
2019,37,Deividas Sirvydis,-0.1,-0.2
2019,38,Daniel Gafford,35.2,8.2
2019,39,Alen SmailagiÄ,0.3,-0.1
2019,40,Justin James,0.3,-0.2
2019,41,Eric Paschall,5.0,-0.1
2019,42,Admiral Schofield,1.2,-0.9
2019,43,Jaylen Nowell,4.7,-0.1
