player_key,player_name,draft_year,pick,ws,vorp
yannick nzosa,Yannick Nzosa,2022,54,0.0,0.0
gui santos,Gui Santos,2022,55,5.2,0.7
luke travers,Luke Travers,2022,56,-0.1,-0.2
jabari walker,Jabari Walker,2022,57,6.8,-1.1
hugo besson,Hugo Besson,2022,58,0.0,0.0
victor wembanyama,Victor Wembanyama,2023,1,17.5,13.0
brandon miller,Brandon Miller,2023,2,5.7,1.9
scoot henderson,Scoot Henderson,2023,3,1.1,-1.8
amen thompson,Amen Thompson,2023,4,22.6,8.2
ausar thompson,Ausar Thompson,2023,5,11.3,3.6
anthony black,Anthony Black,2023,6,6.7,0.5
bilal coulibaly,Bilal Coulibaly,2023,7,1.7,-1.8
jarace walker,Jarace Walker,2023,8,2.5,0.3
taylor hendricks,Taylor Hendricks,2023,9,2.4,-0.1
cason wallace,Cason Wallace,2023,10,14.4,4.0
jett howard,Jett Howard,2023,11,1.4,-0.5
dereck lively,Dereck Lively II,2023,12,8.7,2.0
gradey dick,Gradey Dick,2023,13,3.1,-2.0
jordan hawkins,Jordan Hawkins,2023,14,0.3,-2.2
kobe bufkin,Kobe Bufkin,2023,15,-0.2,-0.4
keyonte george,Keyonte George,2023,16,4.0,-0.3
jalen hood schifino,Jalen Hood-Schifino,2023,17,-0.6,-0.8
jaime jaquez,Jaime Jaquez Jr.,2023,18,10.5,1.6
brandin podziemski,Brandin Podziemski,2023,19,13.4,3.4
cam whitmore,Cam Whitmore,2023,20,3.3,0.8
noah clowney,Noah Clowney,2023,21,2.4,-1.0
dariq whitehead,Dariq Whitehead,2023,22,-0.1,-0.4
kris murray,Kris Murray,2023,23,3.6,-0.6
olivier maxence prosper,Olivier-Maxence Prosper,2023,24,3.8,0.4
marcus sasser,Marcus Sasser,2023,25,3.6,0.1
ben sheppard,Ben Sheppard,2023,26,4.3,-0.7
nick smith,Nick Smith Jr.,2023,27,-1.0,-2.3
brice sensabaugh,Brice Sensabaugh,2023,28,2.0,-0.5
julian strawther,Julian Strawther,2023,29,2.7,-1.5
kobe brown,Kobe Brown,2023,30,2.3,-0.3
james nnaji,James Nnaji,2023,31,0.0,0.0
jalen pickett,Jalen Pickett,2023,32,2.2,0.0
leonard miller,Leonard Miller,2023,33,2.0,0.3
colby jones,Colby Jones,2023,34,0.6,-0.2
julian phillips,Julian Phillips,2023,35,2.5,-0.7
andre jackson,Andre Jackson Jr.,2023,36,1.8,-1.1
hunter tyson,Hunter Tyson,2023,37,0.4,-0.6
jordan walsh,Jordan Walsh,2023,38,4.3,0.5
mouhamed gueye,Mouhamed Gueye,2023,39,4.1,0.4
maxwell lewis,Maxwell Lewis,2023,40,-0.2,-0.5
amari bailey,Amari Bailey,2023,41,-0.1,-0.1
tristan vukcevic,Tristan Vukcevic,2023,42,1.6,0.5
rayan rupert,Rayan Rupert,2023,43,0.5,-1.9
sidy cissoko,Sidy Cissoko,2023,44,1.6,-0.8
gg jackson,GG Jackson II,2023,45,2.6,-0.2
seth lundy,Seth Lundy,2023,46,-0.1,-0.1
mojave king,Mojave King,2023,47,0.0,0.0
jordan miller,Jordan Miller,2023,48,4.0,0.7
emoni bates,Emoni Bates,2023,49,-0.2,-0.2
keyontae johnson,Keyontae Johnson,2023,50,-0.1,-0.1
jalen wilson,Jalen Wilson,2023,51,3.2,-1.9
toumani camara,Toumani Camara,2023,52,11.9,1.4
jaylen clark,Jaylen Clark,2023,53,3.3,0.1
jalen slawson,Jalen Slawson,2023,54,0.5,0.1
isaiah wong,Isaiah Wong,2023,55,0.0,-0.1
tarik biberovic,Tarik Biberovic,2023,56,0.0,0.0
trayce jackson davis,Trayce Jackson-Davis,2023,57,9.6,2.3
chris livingston,Chris Livingston,2023,58,0.2,-0.3
zaccharie risacher,Zaccharie Risacher,2024,1,4.1,-0.9
alex sarr,Alex Sarr,2024,2,1.3,0.3
reed sheppard,Reed Sheppard,2024,3,6.6,2.6
stephon castle,Stephon Castle,2024,4,6.9,1.4
ron holland,Ron Holland,2024,5,4.6,-0.3
tidjane salaun,Tidjane Salaün,2024,6,1.5,-0.8
donovan clingan,Donovan Clingan,2024,7,12.6,3.2
rob dillingham,Rob Dillingham,2024,8,-1.0,-1.6
zach edey,Zach Edey,2024,9,5.6,0.9
cody williams,Cody Williams,2024,10,-1.0,-2.9
matas buzelis,Matas Buzelis,2024,11,4.4,0.4
nikola topic,Nikola Topić,2024,12,0.0,-0.3
devin carter,Devin Carter,2024,13,0.5,-0.2
bub carrington,Bub Carrington,2024,14,-0.2,-3.2
kel el ware,Kel'el Ware,2024,15,10.3,2.4
jared mccain,Jared McCain,2024,16,2.2,0.2
dalton knecht,Dalton Knecht,2024,17,3.1,-0.2
tristan da silva,Tristan Da Silva,2024,18,5.8,0.4
ja kobe walter,Ja'Kobe Walter,2024,19,4.9,0.4
jaylon tyson,Jaylon Tyson,2024,20,4.8,0.9
yves missi,Yves Missi,2024,21,6.3,-0.4
daron holmes,DaRon Holmes,2024,22,0.4,0.1
aj johnson,AJ Johnson,2024,23,-1.3,-1.8
kyshawn george,Kyshawn George,2024,24,0.8,-0.7
pacome dadiet,Pacôme Dadiet,2024,25,0.2,-0.2
dillon jones,Dillon Jones,2024,26,0.9,-0.3
terrence shannon,Terrence Shannon Jr.,2024,27,1.6,-0.2
ryan dunn,Ryan Dunn,2024,28,3.6,-0.4
isaiah collier,Isaiah Collier,2024,29,0.9,-1.7
baylor scheierman,Baylor Scheierman,2024,30,4.6,1.0
jonathan mogbo,Jonathan Mogbo,2024,31,2.5,0.1
kyle filipowski,Kyle Filipowski,2024,32,5.5,0.8
tyler smith,Tyler Smith,2024,33,0.4,-0.1
tyler kolek,Tyler Kolek,2024,34,1.8,0.2
johnny furphy,Johnny Furphy,2024,35,1.0,-0.3
juan nunez,Juan Nunez,2024,36,0.0,0.0
bobi klintman,Bobi Klintman,2024,37,0.1,-0.1
ajay mitchell,Ajay Mitchell,2024,38,6.3,1.5
jaylen wells,Jaylen Wells,2024,39,5.1,-0.6
oso ighodaro,Oso Ighodaro,2024,40,6.3,0.8
adem bona,Adem Bona,2024,41,5.2,-0.4
kj simpson,KJ Simpson,2024,42,-0.6,-0.9
nikola djurisic,Nikola Djurisic,2024,43,0.0,0.0
pelle larsson,Pelle Larsson,2024,44,5.5,0.2
jamal shead,Jamal Shead,2024,45,3.5,-0.9
cam christie,Cam Christie,2024,46,0.2,-0.3
antonio reeves,Antonio Reeves,2024,47,0.6,-0.1
harrison ingram,Harrison Ingram,2024,48,0.2,0.0
tristen newton,Tristen Newton,2024,49,0.0,0.0
enrique freeman,Enrique Freeman,2024,50,0.3,-0.2
melvin ajinca,Melvin Ajinça,2024,51,0.0,0.0
quinten post,Quinten Post,2024,52,3.5,0.6
cam spencer,Cam Spencer,2024,53,6.1,2.0
anton watson,Anton Watson,2024,54,0.0,0.0
bronny james,Bronny James,2024,55,0.0,-0.5
kevin mccullar,Kevin McCullar Jr.,2024,56,0.2,-0.1
ulrich chomche,Ulrich Chomche,2024,57,0.0,0.0
ariel hukporti,Ariel Hukporti,2024,58,1.3,-0.2
