player_key,player_name,draft_year,pick,ws,vorp
tyler ulis,Tyler Ulis,2016,34,0.5,-1.1
rade zagorac,Rade Zagorac,2016,35,0.0,0.0
malcolm brogdon,Malcolm Brogdon,2016,36,33.4,11.2
chinanu onuaku,Chinanu Onuaku,2016,37,0.1,-0.1
patrick mccaw,Patrick McCaw,2016,38,4.4,-0.6
david michineau,David Michineau,2016,39,0.0,0.0
diamond stone,Diamond Stone,2016,40,-0.1,-0.1
stephen zimmerman,Stephen Zimmerman,2016,41,0.0,-0.2
isaiah whitehead,Isaiah Whitehead,2016,42,-0.9,-1.4
zhou qi,Zhou Qi,2016,43,-0.2,-0.2
isaia cordinier,Isaïa Cordinier,2016,44,0.0,0.0
demetrius jackson,Demetrius Jackson,2016,45,0.2,0.1
a j hammons,A.J. Hammons,2016,46,0.0,-0.2
jake layman,Jake Layman,2016,47,3.8,-0.2
paul zipser,Paul Zipser,2016,48,0.0,-1.4
michael gbinije,Michael Gbinije,2016,49,-0.1,-0.1
georges niang,Georges Niang,2016,50,15.9,0.7
ben bentil,Ben Bentil,2016,51,-0.1,-0.1
joel bolomboy,Joel Bolomboy,2016,52,0.3,0.0
petr cornelie,Petr Cornelie,2016,53,0.0,-0.1
kay felder,Kay Felder,2016,54,-0.4,-0.4
marcus paige,Marcus Paige,2016,55,0.0,0.0
daniel hamilton,Daniel Hamilton,2016,56,0.0,-0.1
wang zhelin,Wang Zhelin,2016,57,0.0,0.0
abdel nader,Abdel Nader,2016,58,2.8,-0.4
isaiah cousins,Isaiah Cousins,2016,59,0.0,0.0
tyrone wallace,Tyrone Wallace,2016,60,0.1,-1.4
markelle fultz,Markelle Fultz,2017,1,8.3,1.1
lonzo ball,Lonzo Ball,2017,2,13.3,6.9
jayson tatum,Jayson Tatum,2017,3,67.2,30.3
josh jackson,Josh Jackson,2017,4,-1.7,-3.1
de aaron fox,De'Aaron Fox,2017,5,40.3,15.1
jonathan isaac,Jonathan Isaac,2017,6,14.9,4.3
lauri markkanen,Lauri Markkanen,2017,7,36.7,12.2
frank ntilikina,Frank Ntilikina,2017,8,0.3,-3.4
dennis smith,Dennis Smith Jr.,2017,9,2.3,-0.2
zach collins,Zach Collins,2017,10,12.4,1.0
malik monk,Malik Monk,2017,11,16.1,3.1
luke kennard,Luke Kennard,2017,12,28.1,6.3
donovan mitchell,Donovan Mitchell,2017,13,60.2,29.4
bam adebayo,Bam Adebayo,2017,14,64.0,22.2
justin jackson,Justin Jackson,2017,15,5.3,-1.0
justin patton,Justin Patton,2017,16,0.4,-0.1
d j wilson,D.J. Wilson,2017,17,2.9,-0.2
t j leaf,T.J. Leaf,2017,18,2.7,0.1
john collins,John Collins,2017,19,43.8,10.0
harry giles,Harry Giles,2017,20,3.1,-0.2
terrance ferguson,Terrance Ferguson,2017,21,4.4,-2.1
jarrett allen,Jarrett Allen,2017,22,73.1,19.4
og anunoby,OG Anunoby,2017,23,37.6,10.5
tyler lydon,Tyler Lydon,2017,24,0.2,-0.1
anzejs pasecniks,Anžejs Pasečņiks,2017,25,0.4,-0.5
caleb swanigan,Caleb Swanigan,2017,26,-0.2,-0.7
kyle kuzma,Kyle Kuzma,2017,27,16.3,1.8
tony bradley,Tony Bradley,2017,28,8.9,1.0
derrick white,Derrick White,2017,29,46.7,18.4
josh hart,Josh Hart,2017,30,42.8,12.6
frank jackson,Frank Jackson,2017,31,2.5,-1.9
davon reed,Davon Reed,2017,32,1.5,-0.3
wes iwundu,Wes Iwundu,2017,33,4.2,-1.8
frank mason,Frank Mason III,2017,34,1.2,-0.3
ivan rabb,Ivan Rabb,2017,35,3.2,0.1
jonah bolden,Jonah Bolden,2017,36,1.4,0.1
semi ojeleye,Semi Ojeleye,2017,37,5.2,-1.5
